Instruction,Input,Output
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:


Negative Headlines:
* America's Roster of Public Companies Is Shrinking Before Our Eyes
* Struggling upscale U.S. retailer Neiman Marcus pulls IPO

Predict AMZN's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 5.62%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Amazon and Chase Introduce New Prime Rewards Visa Card With 5% Back on All Amazon.com Purchases and 
* Amazon Touts Job-Creation Plans, Patching Up Rift With Trump
* Amazon and Chase introduce Prime credit card
* Exclusive: Amazon plots huge fulfillment center in Cecil County, 700 new jobs expected - Baltimore Business Journal

Negative Headlines:
* American Apparel Bankruptcy Deal Leaves Retail Future in Doubt
* Wal-Mart Said to Be Cutting Hundreds of Workers This Month
* Karenann Terrell To Leave as CIO of Wal-Mart
* How Chinese Counterfeiters Continue Beating Amazon
* SoundCloud survival may hinge on sale to Google

Predict AMZN's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 2.54%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* EU antitrust regulators welcome Amazon, Apple audiobook deal
* Google's Big Marketing Push Pays Off for its Pixel Phone Over Holiday
* Alibaba Olympics Sponsorship Deal Said to Be Worth $800 Million

Negative Headlines:
* Pearson CEO Stuck in 'Last Chance Saloon' Faces Investor Wrath

Predict AMZN's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",decreased in 0.17%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* '1984' Publisher Orders New Printing as Sales Soar

Negative Headlines:


Predict AMZN's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 2.19%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Amazon to create $1.4B air hub at CVG - Cincinnati Business Courier
* Amazon.com Plans First Air Cargo Hub
* Hilton Honors Unveils More of What Matters Most: Industry-First Benefits Including Amazon Shop with Points

Negative Headlines:


Predict AMZN's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",decreased in 2.43%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:


Negative Headlines:
* Payless Is in Talks to Close 1000 Stores

Predict AMZN's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 2.45%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Netflix, Amazon Fuel L.A. Offices as Streaming Flourishes

Negative Headlines:
* Apple Struggles to Make Big Deals, Hampering Strategy Shifts
* Apple Vowed to Revolutionize Television. An Inside Look at Why It Hasn't

Predict AMZN's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 1.02%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:


Negative Headlines:
* J.C. Penney Is Latest Retailer Forced to Downsize
* Amazon Deforestation, Once Tamed, Comes Roaring Back
* RIP LivingSocial: The fast rise and slow demise of a daily deals company

Predict AMZN's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",decreased in 1.31%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* JPMorgan Software Does in Seconds What Took Lawyers 360000 Hours
* Sources: Amazon to double its Dallas regional operations hub at Galleria Towers - Dallas Business Journal

Negative Headlines:
* Disruption in Amazon's cloud service ripples through internet

Predict AMZN's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 0.15%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Google Adds Cloud Customers, Nabbing Verizon From Microsoft
* Amazon Seeks Fresh Investment in India With New Grocery Service
* Jeff Bezos' rocket company just made a significant step toward lowering the cost of access to space
* Amazon Launches Premium Service in Mexico
* Ulta Beauty Earnings: Retail's Beauty Queen

Negative Headlines:
* RadioShack Is Officially Going Bankrupt Again
* Radio Shack Files for Bankruptcy Protection, Again

Predict AMZN's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 0.69%
