Instruction,Input,Output
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in  {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* USA Technologies Announces Planned Loyalty Integration with Apple Pay
* Apple to Invest $1 Billion in SoftBank Fund to Support Tech
* Apple Confirms $1 Billion Investment in SoftBank Vision Fund
* Apple Confirms South Korea Store Plans, Challenging Samsung at Home

Negative Headlines:
* Apple CEO Tim Cook's Pay Declines After Weaker 2016 Performance
* Indonesia Cuts JPMorgan Ties After Bank Downgrades Equities
* Apple CEO Cook's 2016 Pay Lower as Tech Giant Misses Targets

",increased in 1.52%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in  {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Apple's AirPod Success: Headphone Users Show They're Willing To Cut The Cord
* This Old Apple Slogan Perfectly Explains What's Wrong With The Company Today
* Better Buy: Apple Inc. vs. IBM
* Tesla Just Hired the Creator of Apple, Inc.'s Swift Programming Language

Negative Headlines:
* Apple execs see pay cut amid unusual miss on sales, income targets

",increased in 0.04%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in  {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Nintendo to Roll Out Super Mario Run for Android OS in March
* Steve Jobs saved Apple and Nike with the same piece of advice
* BrandZ 10 most powerful Chinese brands
* Apple increases App Store prices by 25% following Brexit vote
* Google's Big Marketing Push Pays Off for its Pixel Phone Over Holiday

Negative Headlines:
* Outgoing FCC chair warns against overturning net neutrality
* Apple Sues Qualcomm Over Licensing Practices - WSJ
* About that emoji bug that will 'crash' iPhones — we tested it
* Tsunami Warning as Magnitude 8 Quake Hits Near Papua New Guinea",flat
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in  {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Citi Launches Credit Card Scanning Ability Within Mobile App
* A New Computer as Beautiful as a Vintage Apple I
* Apple's Hunt for Marginal Gains - WSJ
* Apple ready with blueprint for manufacturing unit in India
* Facebook Lets You Lock Down Your Account With Physical Security Keys

Negative Headlines:


",increased in 1.56%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in  {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Apple, Inc.'s Record Returns the Company to Growth
* Apple to Expand Iconic NYC 'Cube' Store in Lift for Fifth Avenue
* Apple seals $10bn debt finance as capital market activity booms

Negative Headlines:
* Apple Inc removes online tool that lets users check if an iPhone has been stolen
* Snap’s Plan Is Most Unfriendly to Outsiders
* Apple Tops Samsung by Smartphone Sales Amid Note 7 Recall: Chart

",increased in 6.13%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in  {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Spotify Befriends Katy Perry in Quest to Win Artists' Favor
* Exclusive: Energous CEO Shares Update On Financials, Dialog Semi And Apple Rumors - Energous (NASDAQ:WATT
* Apple CEO Tim Cook believes augmented reality is 'a big idea like the smartphone'
* Walt Disney Increases Theme Park Ticket Prices
* India grapples with growth of fake news shared on WhatsApp

Negative Headlines:
* Apple CEO Tim Cook: Fake News Is a Chief Problem that Needs a Solution
* With Galaxy S8 Smartphone, Samsung Looks to Hang Up on Note 7 Recall

",increased in 1.84%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in  {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Apple Metaio Acquisition Price Was Low Because Founders Loved Apple's Vision
* Apple Vowed to Revolutionize Television. An Inside Look at Why It Hasn't
* Berkshire Hathaway Boosted Apple Stake Last Quarter
* Apple: Why It's Not Building An Amazon Echo Rival | TIME

Negative Headlines:
* Apple Struggles to Make Big Deals, Hampering Strategy Shifts
* Parkopedia has been rejecting investors since it partnered with Apple
* Co-founder of 'Wolf of Wall Street' studio fights asset seizure

",increased in 1.82%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in  {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Apple to Open Steve Jobs-Inspired Ring-Shaped Campus in April
* Apple's Tim Cook honors Steve Jobs on his birthday

Negative Headlines:
* The Precipitous Fall Of The Blackberry In One Graph
* Why Apple and Intel don't want to see the conflict minerals rule rolled back

",decreased in 0.03%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in  {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* How Artificial Intelligence Is Changing Online Shopping
* Snap Shares Leap 44% in Debut as Investors Doubt Value Will Vanish (Published 2017)
* Breaking: The Apple Watch is Winning
* U.S. appeals court tosses patent verdict against Apple

Negative Headlines:
* Apple Stops Buying Cobalt for iPhones Over Supply Chain Concerns
* China Is Running Out Of Cheap Rural Labor And It's Because Of Failed Reforms
* 5 Questions With Legendary Investor Mohnish Pabrai

",increased in 2.08%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in  {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Riding The Crest Of Ride Sharing – Uber Vs. Lyft Vs. Didi - Apple (NASDAQ:AAPL), BMW (OTC:BMWYY)

Negative Headlines:
* Steve Jobs Thought the Apple Store's 'Genius Bar' Was 'Idiotic' At First

",decreased in 0.14%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in  {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* What tech campuses in Silicon Valley look like from above
* SocGen Taps Amazon, Microsoft for Cloud as Banks Target Costs
* Apple plans two more R&D centers in China as its challenges in the country continue

Negative Headlines:
* Apple CEO Tim Cook Defends Globalization in China Speech
* Apple found guilty of price-fixing in Russia over iPhone prices
* Apple found guilty of price fixing iPhones in Russia
* Battle of Dividends: Apple, Inc. vs Microsoft
* US Taxpayers Might Be on the Hook for Dakota Pipeline Protest Costs

",increased in 0.57%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in  {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Apple introduces iphone 7 & iphone 7 plus red special edition

Negative Headlines:


",decreased in 0.58%
