Instruction,Input,Output
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Apple to Invest $1 Billion in SoftBank Fund to Support Tech
* Apple Confirms $1 Billion Investment in SoftBank Vision Fund
* USA Technologies Announces Planned Loyalty Integration with Apple Pay
* Apple Confirms South Korea Store Plans, Challenging Samsung at Home

Negative Headlines:
* Indonesia Cuts JPMorgan Ties After Bank Downgrades Equities
* Apple CEO Tim Cook's Pay Declines After Weaker 2016 Performance
* Apple CEO Cook's 2016 Pay Lower as Tech Giant Misses Targets

Predict AAPL's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 1.52%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Apple's AirPod Success: Headphone Users Show They're Willing To Cut The Cord
* Creator of Android Andy Rubin to come up with a new phone

Negative Headlines:
* This Old Apple Slogan Perfectly Explains What's Wrong With The Company Today
* Apple execs see pay cut amid unusual miss on sales, income targets

Predict AAPL's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 0.04%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Nintendo to Roll Out Super Mario Run for Android OS in March
* Google's Big Marketing Push Pays Off for its Pixel Phone Over Holiday

Negative Headlines:
* Apple increases App Store prices by 25% following Brexit vote
* Apple Sues Qualcomm Over Licensing Practices - WSJ
* Tsunami Warning as Magnitude 8 Quake Hits Near Papua New Guinea",flat
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Apple ready with blueprint for manufacturing unit in India

Negative Headlines:
* Japan Display Joins Flexible-Screen Battle With Bendier LCD

Predict AAPL's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 1.56%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Apple Tops Samsung by Smartphone Sales Amid Note 7 Recall: Chart
* Apple, Inc.'s Record Returns the Company to Growth
* Apple to Expand Iconic NYC 'Cube' Store in Lift for Fifth Avenue
* Freshii Jumps 6.3% in Canada Trading Debut After $96 Million IPO
* Apple seals $10bn debt finance as capital market activity booms

Negative Headlines:
* Cheaper Rivals Eat Away at Apple Sales in China
* Snap’s Plan Is Most Unfriendly to Outsiders

Predict AAPL's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 6.13%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Did Intel Corporation Just Reveal That It Will Be Inside of the Apple Inc. iPhone 8?
* Apple, Inc.'s Stock's 40% Comeback -- What Investors Should Know
* With Galaxy S8 Smartphone, Samsung Looks to Hang Up on Note 7 Recall
* Apple CEO Tim Cook believes augmented reality is 'a big idea like the smartphone'

Negative Headlines:
* Apple CEO Tim Cook: Fake News Is a Chief Problem that Needs a Solution
* Walt Disney Increases Theme Park Ticket Prices
* India grapples with growth of fake news shared on WhatsApp

Predict AAPL's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 1.84%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Berkshire Hathaway Boosted Apple Stake Last Quarter
* Apple Metaio Acquisition Price Was Low Because Founders Loved Apple's Vision
* Will Apple, Inc. Really Double Its Services Business in 4 Years?

Negative Headlines:
* Apple Struggles to Make Big Deals, Hampering Strategy Shifts
* Apple Vowed to Revolutionize Television. An Inside Look at Why It Hasn't
* Co-founder of 'Wolf of Wall Street' studio fights asset seizure
* Parkopedia has been rejecting investors since it partnered with Apple

Predict AAPL's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 1.82%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Apple to Open Steve Jobs-Inspired Ring-Shaped Campus in April

Negative Headlines:
* The Precipitous Fall Of The Blackberry In One Graph

Predict AAPL's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",decreased in 0.03%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* U.S. appeals court tosses patent verdict against Apple
* Breaking: The Apple Watch is Winning
* Snap Shares Leap 44% in Debut as Investors Doubt Value Will Vanish (Published 2017)
* Picasso Finds Possible Digs in Harlem $2.5 Billion Art Port

Negative Headlines:
* Apple's Corporate Reputation Falling Behind Google, Microsoft
* China Is Running Out Of Cheap Rural Labor And It's Because Of Failed Reforms

Predict AAPL's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 2.08%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Why Apple Inc. Stock Jumped 13% in February

Negative Headlines:
* WikiLeaks Adds to Samsung Headaches With Claims of Spying TVs

Predict AAPL's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",decreased in 0.14%
