Instruction,Input,Output
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in  {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Chinese Tech Company Takes On Microsoft With Super Cheap Tablet

Negative Headlines:
* Moderators who had to view child abuse content sue Microsoft, claiming PTSD
* Microsoft staff 'suffering from PTSD'
* Apple iPhone: Microsoft's Steve Ballmer Once Thought It Was a Mistake

",increased in 0.1%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in  {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Microsoft Veteran Will Help Run Chinese Search Giant Baidu

Negative Headlines:
* Microsoft Warns Windows 7 Is Dangerous To Use [Updated]
* An ex-NFL player claims he inspired a 'Gears of War' character — and he wants a cut

",increased in 0.34%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in  {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Why companies like Microsoft and Cisco pumping millions of dollars into their startup accelerator programm

Negative Headlines:


",increased in 4.48%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in  {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Microsoft issues biggest bond of the year in debt market boom

Negative Headlines:
* Slack, Microsoft step up war on work email

",decreased in 2.23%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in  {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:


Negative Headlines:
* One question from Warren Buffett made Bill Gates rethink Microsoft

",increased in 0.57%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in  {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Microsoft Azure Gaining Traction in Business
* Microsoft Takes Another Crack at Health Care, This Time With Cloud, AI and Chatbots

Negative Headlines:


",increased in 0.45%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in  {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:


Negative Headlines:
* Microsoft CEO Satya Nadella says Bill Gates' original mission 'always bothered me'

",increased in 0.2%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in  {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Advanced Micro, Bethesda Partner to Better Gaming Experience

Negative Headlines:
* Don't Let This New Windows Tech Support Scam Fool You

",increased in 0.03%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in  {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* The End Of Wintel: How The Most Powerful Alliance In Tech History Is Falling Apart
* Microsoft close to signing 9 year lease with Prestige Group for 600,000 square feet office in Bengaluru
* AAA Credit Rating Stocks in Focus: Microsoft

Negative Headlines:


",increased in 1.03%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in  {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Microsoft Ends Windows Vista Support in April
* LinkedIn Co-founder Reid Hoffman Just Joined Microsoft's Board

Negative Headlines:
* Battle of Dividends: Apple, Inc. vs Microsoft

",increased in 0.25%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in  {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Trunomi Simplifies Customer Consent, Data Rights Processes For Businesses - Microsoft (NASDAQ:MSFT), Fox

Negative Headlines:


",increased in 0.08%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in  {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Pamela Edstrom, Who Helped Shape Microsoft's Public Image, Dies at 71 (Published 2017)

Negative Headlines:


",increased in 1.17%
